model;begin;end
AEROSTAR;1986;1997
ASPIRE;1994;1997
B-MAX;2012;2017
BRONCO;1984;1990
BRONCO;1966;1996
BRONCO;2020;2020
C-MAX;2007;2019
CAPRI;1989;1994
CONTOUR;1995;2000
CORCEL;1968;1996
CORSAIR;1989;1992
COUGAR;1999;2002
DEL REY;1981;1991
E-SERIES;1961;2014
ECONOLINE;1978;2013
ECOSPORT;2004;-1
EDGE;2007;-1
ENDEAVOUR;2002;-1
ESCAPE;2001;-1
ESCORT;2015;-1
ESCORT;1968;2000
ESCORT;1981;2002
EVEREST;2003;-1
EVEREST;2003;-1
EXCURSION;2000;2005
EXPEDITION;1997;-1
EXPEDITION EL/MAX;2007;-1
EXPLORER;1991;-1
FIESTA;1976;-1
FIGO;2010;2019
FIVE HUNDRED;2005;2007
FLEX;2009;2019
FOCUS;1998;-1
FOCUS;2000;2019
FOCUS C-MAX;2003;2019
FREESTAR;2004;2007
FREESTYLE;2005;2007
FREESTYLE;2005;2007
FUSION;2002;2012
FUSION;2006;2020
GALAXY;1995;-1
GRANADA;1972;1994
GT;2003;2006
GTX1;2005;2006
HUSKY;1987;-1
IKON;2000;-1
KA;1996;-1
KA+;2017;-1
KUGA;2008;-1
LASER;1980;2003
LTD;1973;2007
MONDEO;1993;-1
MONDEO METROSTAR;2000;2006
MUSTANG;1965;-1
MUSTANG MAXUM GTP;1987
ORION;1983;1993
PAMPA;1982;1997
PROBE;1989;1997
PUMA;2019;-1
RAIDER;1985;1998
ROYALE;1992;1995
S-MAX;2006;-1
S-MAX;2008;-1
SCORPIO;1985;1999
SIERRA;1982;1992
SPORTKA;2003;2006
STREETKA;2003;2006
TAURUS;1986;2019
TAURUS X;2008;2009
TELSTAR;1983;1999
TEMPO;1984;1994
TERRITORY;2004;2016
THUNDERBIRD;1955;1997
TOURNEO;1995;-1
TOURNEO CONNECT;2002;-1
TRANSIT;1965;-1
TRANSIT CONNECT;2002;-1
TRANSIT COURIER;2014;-1
TRANSIT CUSTOM;2012;-1
TRANSIT CUSTOM NUGGET;2019;-1
VERONA;1989;1996
VERSAILLES;1992;1996
WINDSTAR;1995;2004
ZX2;1998;2003
ENDEAVOUR;2002;-1
ESCAPE;2001;-1
EVEREST;2003;-1
EXCURSION;2000;2005
EXPEDITION;1997;-1
EXPEDITION EL/MAX;2007;-1
EXPLORER;1991;-1
FIERA;1972;1984
FLEX;2009;2019
FREESTYLE;2005;2007
FUSION;2002;2012
KUGA;2008;-1
RAIDER;1985;1998
TAURUS X;2008;2009
TERRITORY;2004;2016






